type;word;trash;polarity
weak;tasty;"adj stemmed1=n";positive
weak;abandoned;"adj stemmed1=n";negative
weak;abandonment;"noun stemmed1=n";negative
weak;abandon;"verb stemmed1=y";negative
strong;abase;"verb stemmed1=y";negative
strong;abasement;"anypos stemmed1=y";negative
strong;abash;"verb stemmed1=y";negative
weak;abate;"verb stemmed1=y";negative
weak;abdicate;"verb stemmed1=y";negative
strong;aberration;"adj stemmed1=n";negative
strong;aberration;"noun stemmed1=n";negative
strong;abhor;"anypos stemmed1=y";negative
strong;abhor;"verb stemmed1=y";negative
strong;abhorred;"adj stemmed1=n";negative
strong;abhorrence;"noun stemmed1=n";negative
strong;abhorrent;"adj stemmed1=n";negative
strong;abhorrently;"anypos stemmed1=n";negative
strong;abhors;"adj stemmed1=n";negative
strong;abhors;"noun stemmed1=n";negative
strong;abidance;"adj stemmed1=n";positive
strong;abidance;"noun stemmed1=n";positive
strong;abide;"anypos stemmed1=y";positive
strong;abject;"adj stemmed1=n";negative
strong;abjectly;"adverb stemmed1=n";negative
weak;abjure;"verb stemmed1=y";negative
weak;abilities;"noun stemmed1=n";positive
weak;ability;"noun stemmed1=n";positive
weak;able;"adj stemmed1=n";positive
weak;abnormal;"adj stemmed1=n";negative
weak;abolish;"verb stemmed1=y";negative
strong;abominable;"adj stemmed1=n";negative
strong;abominably;"anypos stemmed1=n";negative
strong;abominate;"verb stemmed1=y";negative
strong;abomination;"noun stemmed1=n";negative
weak;above;"anypos stemmed1=n";positive
weak;above-average;"adj stemmed1=n";positive
weak;abound;"verb stemmed1=y";positive
weak;abrade;"verb stemmed1=y";negative
strong;abrasive;"adj stemmed1=n";negative
weak;abrupt;"adj stemmed1=n";negative
strong;abscond;"verb stemmed1=y";negative
weak;absence;"noun stemmed1=n";negative
weak;absentee;"anypos stemmed1=y";negative
strong;absent-minded;"adj stemmed1=n";negative
strong;absolve;"verb stemmed1=y";positive
strong;absolute;"adj stemmed1=n";neutral
strong;absolutely;"adj stemmed1=n";neutral
weak;absorbed;"verb stemmed1=n";neutral
strong;absurd;"adj stemmed1=n";negative
strong;absurdity;"noun stemmed1=n";negative
strong;absurdly;"anypos stemmed1=n";negative
strong;absurdness;"noun stemmed1=n";negative
weak;abundant;"adj stemmed1=n";positive
weak;abundance;"noun stemmed1=n";positive
weak;abuse;"adj stemmed1=n";negative
weak;abuse;"noun stemmed1=n";negative
strong;abuse;"verb stemmed1=y";negative
weak;abuses;"adj stemmed1=n";negative
weak;abuses;"noun stemmed1=n";negative
strong;abusive;"adj stemmed1=n";negative
strong;abysmal;"adj stemmed1=n";negative
strong;abysmally;"anypos stemmed1=n";negative
strong;abyss;"noun stemmed1=n";negative
strong;accede;"verb stemmed1=y";positive
strong;accentuate;"verb stemmed1=y";neutral
weak;accept;"verb stemmed1=y";positive
weak;acceptance;"noun stemmed1=n";positive
weak;acceptable;"adj stemmed1=n";positive
weak;accessible;"adj stemmed1=n";positive
weak;accidental;"adj stemmed1=n";negative
strong;acclaim;"noun stemmed1=n";positive
strong;acclaim;"verb stemmed1=y";positive
strong;acclaimed;"adj stemmed1=n";positive
strong;acclamation;"anypos stemmed1=y";positive
strong;accolade;"noun stemmed1=n";positive
strong;accolades;"noun stemmed1=n";positive
weak;accommodative;"adj stemmed1=n";positive
weak;accomplish;"verb stemmed1=y";positive
weak;accomplishment;"noun stemmed1=n";positive
weak;accomplishments;"noun stemmed1=n";positive
weak;accord;"verb stemmed1=y";positive
weak;accordance;"noun stemmed1=n";positive
weak;accordantly;"adverb stemmed1=n";positive
weak;accost;"verb stemmed1=y";negative
weak;accountable;"adj stemmed1=n";negative
weak;accurate;"adj stemmed1=n";positive
weak;accurately;"adj stemmed1=n";positive
strong;accursed;"adj stemmed1=n";negative
strong;accusation;"adj stemmed1=n";negative
strong;accusation;"noun stemmed1=n";negative
strong;accusations;"adj stemmed1=n";negative
strong;accusations;"noun stemmed1=n";negative
strong;accuse;"verb stemmed1=y";negative
strong;accuses;"verb stemmed1=n";negative
strong;accusing;"anypos stemmed1=n";negative
strong;accusingly;"anypos stemmed1=n";negative
strong;acerbate;"verb stemmed1=y";negative
strong;acerbic;"adj stemmed1=n";negative
strong;acerbically;"adverb stemmed1=n";negative
strong;ache;"verb stemmed1=y";negative
weak;achievable;"adj stemmed1=n";positive
weak;achieve;"verb stemmed1=y";positive
weak;achievement;"anypos stemmed1=n";positive
weak;achievements;"anypos stemmed1=n";positive
weak;acknowledge;"verb stemmed1=y";positive
weak;acknowledgement;"noun stemmed1=n";positive
weak;acquit;"verb stemmed1=y";positive
strong;acrid;"adj stemmed1=n";negative
strong;acridly;"anypos stemmed1=n";negative
strong;acridness;"noun stemmed1=n";negative
strong;acrimonious;"adj stemmed1=n";negative
strong;acrimoniously;"anypos stemmed1=n";negative
strong;acrimony;"noun stemmed1=n";negative
weak;active;"adj stemmed1=n";positive
strong;activist;"adj stemmed1=n";neutral
strong;activist;"noun stemmed1=n";neutral
strong;actual;"anypos stemmed1=n";neutral
strong;actuality;"anypos stemmed1=n";neutral
strong;actually;"anypos stemmed1=n";neutral
strong;acumen;"noun stemmed1=n";positive
strong;adamant;"adj stemmed1=n";negative
strong;adamantly;"anypos stemmed1=n";negative
weak;adaptable;"adj stemmed1=n";positive
weak;adaptability;"noun stemmed1=n";positive
weak;adaptive;"adj stemmed1=n";positive
weak;addict;"noun stemmed1=n";negative
weak;addiction;"noun stemmed1=n";negative
